dataset,metric,value
train-test.csv,rows,48000
train-test.csv,columns,14
train-test.csv,missing_load_id,0
train-test.csv,missing_pickup,0
train-test.csv,missing_delivery,0
train-test.csv,missing_pickup_lat,0
train-test.csv,missing_pickup_lon,0
train-test.csv,missing_delivery_lat,0
train-test.csv,missing_delivery_lon,0
train-test.csv,missing_distance,0
train-test.csv,missing_equipment,0
train-test.csv,missing_weight,300
train-test.csv,missing_date,0
train-test.csv,missing_market_index,374
train-test.csv,missing_quote_signal,0
train-test.csv,missing_posted_rate,0
train-test.csv,negative_weights,292
train-test.csv,duplicate_rows,0
train-test.csv,duplicate_load_ids,0
train-test.csv,pickup_cities,64
train-test.csv,delivery_cities,64
train-test.csv,routes,4014
validation.csv,rows,12000
validation.csv,columns,13
validation.csv,missing_load_id,0
validation.csv,missing_pickup,0
validation.csv,missing_delivery,0
validation.csv,missing_pickup_lat,0
validation.csv,missing_pickup_lon,0
validation.csv,missing_delivery_lat,0
validation.csv,missing_delivery_lon,0
validation.csv,missing_distance,0
validation.csv,missing_equipment,0
validation.csv,missing_weight,165
validation.csv,missing_date,0
validation.csv,missing_market_index,249
validation.csv,missing_quote_signal,0
validation.csv,negative_weights,145
validation.csv,duplicate_rows,0
validation.csv,duplicate_load_ids,0
validation.csv,pickup_cities,72
validation.csv,delivery_cities,72
validation.csv,routes,4214
validation-predictions-template.csv,rows,12000
validation-predictions-template.csv,columns,2
validation-predictions-template.csv,missing_load_id,0
validation-predictions-template.csv,missing_predicted_rate,12000
validation-predictions-template.csv,duplicate_rows,0
validation-predictions-template.csv,duplicate_load_ids,0
december-chart-inputs.csv,rows,31
december-chart-inputs.csv,columns,7
december-chart-inputs.csv,missing_pickup,0
december-chart-inputs.csv,missing_delivery,0
december-chart-inputs.csv,missing_distance,0
december-chart-inputs.csv,missing_equipment,0
december-chart-inputs.csv,missing_weight,0
december-chart-inputs.csv,missing_date,0
december-chart-inputs.csv,missing_predicted_rate,31
december-chart-inputs.csv,negative_weights,0
december-chart-inputs.csv,duplicate_rows,0
december-chart-inputs.csv,pickup_cities,1
december-chart-inputs.csv,delivery_cities,1
december-chart-inputs.csv,routes,1
