load_id,date,equipment,distance,posted_rate,predicted_rate,fold,abs_error
TR-037765,2025-08-27,Dry Van,2810.9,24294.98,5137.067650227618,validate_august,19157.91234977238
TR-040097,2025-09-11,Reefer,1760.3,20132.37,3848.3926891413266,validate_sep_oct,16283.977310858672
TR-040097,2025-09-11,Reefer,1760.3,20132.37,3848.3926891413266,validate_september,16283.977310858672
TR-040172,2025-09-11,Dry Van,2283.4,20361.89,4266.917463540261,validate_sep_oct,16094.972536459738
TR-040172,2025-09-11,Dry Van,2283.4,20361.89,4266.917463540261,validate_september,16094.972536459738
TR-031260,2025-07-16,Reefer,1747.7,19042.39,3838.875312578606,validate_july,15203.514687421393
TR-034584,2025-08-06,Dry Van,2242.0,18972.15,4344.990177231071,validate_august,14627.15982276893
TR-043540,2025-10-03,Dry Van,1893.0,17514.11,3617.8353242006597,validate_sep_oct,13896.274675799341
TR-046214,2025-10-20,Flatbed,2023.4,17893.17,4066.664383913663,validate_sep_oct,13826.505616086335
TR-043540,2025-10-03,Dry Van,1893.0,17514.11,3714.4860460855007,validate_october,13799.623953914499
TR-046214,2025-10-20,Flatbed,2023.4,17893.17,4230.687583581103,validate_october,13662.482416418894
TR-035469,2025-08-12,Dry Van,2305.9,17742.34,4264.636910016993,validate_august,13477.703089983006
TR-047299,2025-10-27,Reefer,2979.1,19110.3,5649.988282066278,validate_sep_oct,13460.31171793372
TR-033075,2025-07-27,Reefer,1880.0,17333.65,3921.4174770176237,validate_july,13412.232522982378
TR-047299,2025-10-27,Reefer,2979.1,19110.3,5935.659626038995,validate_october,13174.640373961003
TR-032353,2025-07-23,Dry Van,1998.0,16951.43,4128.786531250567,validate_july,12822.643468749433
TR-040323,2025-09-12,Dry Van,1639.9,14949.25,3262.757738860804,validate_sep_oct,11686.492261139196
TR-040323,2025-09-12,Dry Van,1639.9,14949.25,3262.757738860804,validate_september,11686.492261139196
TR-046517,2025-10-22,Reefer,1684.3,14784.38,3654.2738052092045,validate_sep_oct,11130.106194790795
TR-046517,2025-10-22,Reefer,1684.3,14784.38,3728.326060848596,validate_october,11056.053939151403
TR-028825,2025-07-01,Dry Van,1627.6,14317.13,3366.7172906889386,validate_july,10950.41270931106
TR-042882,2025-09-29,Dry Van,1460.5,13503.63,2795.3302068964263,validate_sep_oct,10708.299793103573
TR-042882,2025-09-29,Dry Van,1460.5,13503.63,2795.3302068964263,validate_september,10708.299793103573
TR-036930,2025-08-21,Dry Van,1894.0,14362.88,3754.8619386673618,validate_august,10608.018061332637
TR-029286,2025-07-04,Reefer,1517.5,13817.43,3501.4804290619622,validate_july,10315.949570938039
TR-032678,2025-07-25,Dry Van,1547.6,13435.73,3169.1132918698795,validate_july,10266.616708130121
TR-042150,2025-09-24,Dry Van,1415.5,13026.22,2769.0245650972215,validate_september,10257.195434902778
TR-042150,2025-09-24,Dry Van,1415.5,13026.22,2769.0245650972215,validate_sep_oct,10257.195434902778
TR-046367,2025-10-21,Dry Van,2251.9,14403.14,4269.338483032297,validate_sep_oct,10133.801516967702
TR-047537,2025-10-29,Dry Van,2782.4,15003.55,4933.566946885842,validate_sep_oct,10069.983053114156
TR-046367,2025-10-21,Dry Van,2251.9,14403.14,4441.288603938223,validate_october,9961.851396061777
TR-044268,2025-10-08,Dry Van,2492.6,14425.42,4490.176513468087,validate_sep_oct,9935.243486531912
TR-047537,2025-10-29,Dry Van,2782.4,15003.55,5113.852125522483,validate_october,9889.697874477515
TR-044268,2025-10-08,Dry Van,2492.6,14425.42,4583.771653645939,validate_october,9841.64834635406
TR-032460,2025-07-24,Dry Van,1424.2,12550.02,2940.160151135553,validate_july,9609.859848864447
TR-043303,2025-10-01,Reefer,2083.1,13894.55,4331.624887873633,validate_sep_oct,9562.925112126366
TR-043303,2025-10-01,Reefer,2083.1,13894.55,4470.061044679384,validate_october,9424.488955320616
TR-042736,2025-09-28,Dry Van,1943.0,12797.54,3452.6026954534777,validate_sep_oct,9344.937304546524
TR-042736,2025-09-28,Dry Van,1943.0,12797.54,3452.6026954534777,validate_september,9344.937304546524
TR-043385,2025-10-02,Dry Van,1187.0,11696.44,2365.088343418196,validate_sep_oct,9331.351656581804
TR-043385,2025-10-02,Dry Van,1187.0,11696.44,2402.7189471254114,validate_october,9293.721052874589
TR-037963,2025-08-28,Dry Van,2287.0,13409.18,4140.955081450901,validate_august,9268.224918549098
TR-037174,2025-08-23,Flatbed,1327.4,11981.0,2812.5708216769276,validate_august,9168.429178323073
TR-039363,2025-09-06,Dry Van,1477.7,11684.7,2785.1620199171352,validate_sep_oct,8899.537980082865
TR-039363,2025-09-06,Dry Van,1477.7,11684.7,2785.1620199171352,validate_september,8899.537980082865
TR-047587,2025-10-29,Flatbed,1383.3,11596.28,2849.885572280488,validate_sep_oct,8746.394427719513
TR-047587,2025-10-29,Flatbed,1383.3,11596.28,2900.634864478165,validate_october,8695.645135521836
TR-035834,2025-08-14,Reefer,1384.6,11797.79,3109.7762314959377,validate_august,8688.013768504063
TR-035524,2025-08-12,Dry Van,1971.1,12284.47,3668.622134949321,validate_august,8615.847865050679
TR-036680,2025-08-20,Dry Van,1813.7,11839.2,3287.445420073736,validate_august,8551.754579926264
