pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,803.356681
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,808.986950
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,825.880409
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,826.711515
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,823.413776
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,816.835351
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,811.312219
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,812.221178
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,818.716947
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,824.320184
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,827.442109
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,823.808420
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,816.835351
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,811.312219
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,812.753080
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,819.248850
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,825.519439
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,828.641364
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,824.686460
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,817.713390
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,811.844121
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,812.753080
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,819.570065
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,825.519439
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,828.641364
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,824.686460
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,817.713390
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,813.326035
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,816.381576
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,821.716647
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,826.546327
